Timestamp,Relative_Time,Left_Knee_Angle,Right_Knee_Angle,Trunk_Sway,Vibration_RMS,Acoustic_Signal
1788846354.17025,0.0,179.2637577655571,179.00766339602094,2.6847599499730634,0.174,2.313
1788846354.2072668,0.04,179.104560360822,178.1767543990816,2.6353068492364846,0.174,2.35
1788846354.2422943,0.07,179.54698726170457,178.3352277262678,2.762345213182239,0.173,2.35
1788846354.2754214,0.11,179.3122494517816,179.33059322364716,2.855840158387781,0.172,2.35
1788846354.3069403,0.14,179.4192942918015,179.4271954603186,2.8400437172038253,0.17,2.311
1788846354.3390489,0.17,179.4509512336844,179.3423232548857,2.8567160283237274,0.17,2.35
1788846354.3706574,0.2,179.40239702758333,179.40143344652768,2.909103823160573,0.17,2.35
1788846354.4026847,0.23,179.27528621381472,179.9560351154687,2.9599883951188994,0.167,2.314
1788846354.4422464,0.27,179.07692906308708,179.9183124405593,3.208956604906533,0.16,2.35
1788846354.4742696,0.3,178.9948708212675,179.68763543234252,3.1454815930583933,0.153,2.35
1788846354.5053947,0.34,178.78936601676537,179.60022470158555,3.388148887201095,0.153,2.314
1788846354.5371778,0.37,178.0211125339485,179.84623178631105,3.3083311973958605,0.153,2.35
1788846354.5677118,0.4,177.92290295901094,179.70409809127167,3.454254532931337,0.153,2.314
1788846354.5977838,0.43,178.18509803207758,179.1730763612721,3.4082864549540477,0.153,2.35
1788846354.6298752,0.46,178.64278622747236,179.11491246079422,3.484251947592912,0.153,2.35
1788846354.6710534,0.5,178.74386077071318,178.99735431923867,3.5350574900977763,0.153,2.313
1788846354.701122,0.53,178.74191016060774,179.05710775921904,3.5371278621162348,0.153,2.35
1788846354.7302933,0.56,177.27883139448983,178.5030300765046,3.54373231832679,0.153,2.312
1788846354.7673652,0.6,177.39436074249846,177.95815710534742,3.442510467114536,0.153,2.313
1788846354.798251,0.63,177.8620690283898,177.7790907960831,3.534978945147637,0.153,2.315
1788846354.8292496,0.66,177.89944732886576,177.6110620604273,3.5381684865358065,0.153,2.35
1788846354.8583562,0.69,178.02374410449465,177.1418192692028,3.52282833772453,0.153,2.35
1788846354.8915288,0.72,177.7988389123599,176.9101842801192,3.562650978640576,0.153,2.35
1788846354.9445283,0.77,177.98886865872518,174.66942911884024,3.574520283305369,0.153,2.35
1788846354.9770997,0.81,177.80540150617298,174.64209242115015,3.521790857332328,0.153,2.35
1788846355.008141,0.84,177.5415686482454,175.1562660867516,3.628222945563947,0.153,2.314
1788846355.0424109,0.87,178.24782254542492,175.60002874326324,3.6898969340077503,0.153,2.35
1788846355.0722203,0.9,178.31015633580915,174.44093899165887,3.708383357477017,0.154,2.35
1788846355.1038065,0.93,178.36577097796132,175.97309272639424,3.764818952788633,0.154,2.35
1788846355.134815,0.96,178.32712893540415,175.93867552130766,3.8593053872343863,0.154,2.35
1788846355.164333,0.99,177.92807562211843,175.19987668472518,3.730055054277822,0.154,2.35
1788846355.1992955,1.03,177.8189668781857,176.43166566417727,3.961901598588978,0.154,2.312
1788846355.2312489,1.06,176.91391012996252,175.62157870023563,3.889396947879922,0.154,2.35
1788846355.262441,1.09,177.1463778581496,176.2438715168242,3.897262465898992,0.154,2.314
1788846355.2931244,1.12,176.48912852094725,176.78093583058225,3.881466956424456,0.153,2.35
1788846355.3237205,1.15,176.4583725955245,176.04247912368743,4.11372978027021,0.153,2.314
1788846355.353711,1.18,176.89763173341566,177.078944224427,4.252856189814831,0.153,2.35
1788846355.385563,1.22,178.49416010823046,177.2097285481199,4.358393468669414,0.138,2.312
1788846355.4499004,1.28,178.0840877275081,177.20212960533382,4.303045150353348,0.087,2.35
1788846355.4878988,1.32,174.57278891272156,176.8851333336163,3.920346870436693,0.068,2.35
1788846355.517914,1.35,174.6996672653056,178.7144584552794,3.9214004215224114,0.064,2.314
1788846355.5468996,1.38,173.3487332003448,178.03562285900378,3.7502989862968,0.061,2.35
1788846355.5753932,1.41,173.75356488399797,178.00311088926702,3.8035880830123214,0.061,2.309
1788846355.6311028,1.46,173.13795231506205,178.02313322235185,3.627113505256823,0.06,2.35
1788846355.6630323,1.49,171.16851857475777,178.1733607998359,3.82338114782996,0.06,2.312
1788846355.6901855,1.52,168.8335278591453,178.5555308305378,3.750109796740628,0.06,2.35
1788846355.7201366,1.55,169.1694646969419,178.3638162137335,3.2322607340142744,0.06,2.305
1788846355.7496023,1.58,175.12879285681015,177.37956319367066,2.9105620544034263,0.06,2.35
1788846355.7782972,1.61,170.6567968322874,174.65124923327676,2.1081051015762275,0.06,2.311
1788846355.808297,1.64,179.2833879819927,172.40022745886307,2.345045281449901,0.06,2.35
1788846355.8373024,1.67,172.40212041573724,171.1639819998737,2.57229542838437,0.06,2.311
1788846355.8988855,1.73,163.33738428919955,170.2791524381013,2.781154384624563,0.06,2.35
1788846355.9300065,1.76,167.8498508477202,170.9454395878349,2.837210889844888,0.06,2.35
1788846355.964069,1.79,161.370234267874,176.44683097467188,2.885449008734515,0.06,2.312
1788846355.9956267,1.83,169.4338699425837,165.02516334183775,2.251356007370417,0.06,2.313
1788846356.0236473,1.85,178.23899329689235,157.60163278464637,1.4770569871108092,0.126,3.435
1788846356.054666,1.88,178.7084475840302,128.73934971053006,1.090645067275159,0.127,2.525
1788846356.0844846,1.91,86.98167209957666,168.6362832462455,0.2542952210420429,0.139,1.774
1788846356.114425,1.94,55.6727630716206,165.7810410373744,0.2106297936665405,0.14,2.123
1788846356.1447823,1.97,5.634606604820385,123.1236625250867,0.1429728589810861,0.138,2.1
1788846356.176317,2.01,1.5901970354649206,80.94707000021991,0.2267238222207946,0.139,2.253
1788846356.2065642,2.04,4.129827966160341,0.7110832624441071,0.1588254427616084,0.139,2.285
1788846356.237231,2.07,9.051330028735729,9.695324606137698,0.4176782663953477,0.139,2.303
1788846356.2675705,2.1,7.68054972028148,13.9090161591341,0.4712289419124905,0.139,2.306
1788846356.2986891,2.13,13.924121335225204,21.285901005090544,0.7145455432391423,0.139,2.302
