Timestamp,Vibration_RMS,Accel_Impact,Gyro_Speed,Acoustic_Signal
1788846044.0513408,0.52,0.91,52.4,0.183
1788846044.6516025,0.52,0.91,55.3,0.395
1788846045.2588747,0.52,0.91,57.3,0.031
1788846045.866181,0.52,0.91,58.5,0.595
1788846046.46979,0.52,0.91,58.8,0.705
1788846047.0776818,0.52,0.91,58.4,0.802
1788846047.6822102,0.52,0.91,57.1,0.191
1788846048.2847247,0.52,0.91,54.9,0.119
1788846048.8863862,0.52,0.91,52.1,0.133
1788846049.4869497,0.52,0.91,48.3,0.194
1788846050.0920112,0.52,0.91,44.0,0.128
1788846050.6968994,0.52,0.91,39.0,0.336
1788846051.299621,0.52,0.91,42.2,0.198
1788846051.9038997,0.52,0.91,46.9,0.059
1788846052.509108,0.52,0.91,50.7,0.259
1788846053.112385,0.52,0.91,54.0,0.293
1788846053.7201655,0.52,0.91,56.4,0.009
1788846054.325919,0.52,0.91,58.0,0.07
1788846054.9297166,0.52,0.91,58.9,0.389
1788846055.5376549,0.52,0.91,58.8,0.345
1788846056.1411724,0.52,0.91,57.8,0.288
1788846056.7496257,0.52,0.91,56.1,0.209
1788846057.3519897,0.52,0.91,53.5,0.329
1788846057.9596498,0.52,0.91,50.3,0.163
1788846058.565829,0.52,0.91,46.2,0.207
